cadena,nom_producte,format,preu,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
BonPreu,PONT Cafè descafeïnat en gra,0.25kg,1.89,,Cafè descafeïnat en gra Pont en paquet de 250 grams,PONT,"08206,, SABADELL",41.5421013,41.5421013,INGREDIENTS: cafè 100% descafeïnat en gra.,Conservar en lloc fresc i sec.,NULL
BonPreu,LAVAZZA Cafè en gra expresso,0.5kg,8.89,,Cafè en gra expresso Lavazza en paquet de 500 grams,LAVAZZA,"08036,, BARCELONA",41.39043667216996,41.39043667216996,INGREDIENTS: cafè en gra.," per 100 gr  Valor energètic  1409 kJ / 342 kcal  Greixos  14,1 g  saturats  6,5 g  Hidrats de carboni  11,4 g  sucres  0,5 g  Fibra alimentària  52,6 g  Proteïnes  16 g  Sal  17,3 g",Conservar en lloc fresc i sec.
BonPreu,BONKA Cafè en gra pur aràbica,0.5kg,5.99,,Cafè en gra Bonka pur aràbica en paquet de 500 grams,BONKA,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè de torrat natural.,"Un cop obert el paquet, conservar tancat a la nevera.",NULL
BonPreu,MARCILLA Cafè en gra mescla,0.5kg,5.95,,Cafè en gra mescla Marcilla Gran Aroma en paquet de 500 grams,MARCILLA,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: Cafè i sucre. El cafè torrefacte ha estat torrat amb sucres.," per 100 ml  Valor energètic  1370 kJ / 332 kcal  Greixos  12 g  saturats  5,2 g  Hidrats de carboni  16 g  sucres  <0,5 g  Proteïnes  17 g  Sal  0,02 g","Per a gaudir tota la seva aroma i gust, Marcilla recomana: un cop obert el paquet, després de la seva utilització, guardar en un recipient hermètic en un lloc fresc i sec. Mol només els grans de cafè que necessitis per a la cafetera que vagis a preparar. Per assegurar una extracció òptima del cafè, ajusta el grau de molt del teu molinet segons el tipus de cafetera: cafetera de foc: molt intermig; cafetera express: molt fi. Utilitza aigua de màxima puresa. Servir el cafè acabat de fer."
BonPreu,STARBUCKS Cafè en gra Espresso Roast intens,0.2kg,3.49,,Cafè en gra Espresso Roast intens Starbucks en paquet de 200 grams,STARBUCKS,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè en gra de torrat natural.,"Tria el tipus de mòlta per al teu cafè segons la teva cafetera.Utilitzar aigua freda filtrada.Conservar en un envàs hermètic i opac a temperatura ambient.Un cop obert, consumir en una setmana.",NULL
BonPreu,NOVELL Cafè en gra eco intens,0.25kg,3.95,,Cafè en gra ecològic intens Novell paquet de 250 grams,NOVELL,"08720,, VILAFRANCA DEL PENEDÈS",41.3463825,41.3463825,INGREDIENTES: cafè.,Forma d'ús per a cafè expresso: 7-8 grams per una relació de temps d'extracció / volum de líquid: 25s ± 5s / 30 ml.Conservar a temperatura ambient.,NULL
BonPreu,BRACAFÉ Cafè molt natural,0.25kg,3.99,,Cafè molt natural Bracafé Km0 en paquet de 250 grams,BRACAFÉ,"08011,, BARCELONA",41.384415426194984,41.384415426194984,INGREDIENTS: Cafè aràbica al 63% i cafè robusta al 37%.,Té un termini de consum preferent de deu mesos. S'ha d'emmagatzemar en un ambient sense temperatures extremes i amb poca humitat (menys del 65%).,NULL
BonPreu,BRACAFÉ Cafè molt natural Oro,0.25kg,4.25,,Cafè molt Bracafé natural Oro Km0 en paquet de 250 grams,BRACAFÉ,"08011,, BARCELONA",41.384415426194984,41.384415426194984,INGREDIENTS: Cafè aràbica al 75% i cafè robusta al 25%.,Té un termini de consum preferent de deu mesos. S'ha d'emmagatzemar en un ambient sense temperatures extremes i amb poca humitat (menys del 65%).,NULL
BonPreu,MARCILLA Cafè en gra natural,0.5kg,5.95,,Cafè en gra natural Marcilla en paquet de 500 grams,MARCILLA,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: Cafè en gra.,"Per gaudir tot el seu aroma i sabor, Marcilla recomana: Un cop obert el paquet, després de la seva utilització, guarda'l en un recipient hermètic en un lloc fresc i sec. Mol només els grans de cafè que necessitis per a la cafetera que vagis a preparar. Per assegurar una extracció òptima de el cafè, ajusta el grau de mòlta del teu molinet segons el tipus de cafetera que vagis a utilitzar. Cafetera a foc: mòlt intermedi. Cafetera express: mòlt fi. Utilitza sempre aigua de màxima puresa.Servir el cafè acabat de fer, mai reescalfat.Conservar en un lloc fresc i sec.",NULL
BonPreu,NOCCIOLATA Crema de cacau ecològica,0.27kg,3.99,,Crema de cacau ecològica Nocciolata en pot de 270 grams,NOCCIOLATA,"08036,, BARCELONA",41.39043667216996,41.39043667216996,"INGREDIENTS: sucre de canya*, pasta d'avellanes*(16%), oli de gira-sol*, llet desnatada en pols*, cacau*(6,5%), mantega de cacau*, emulgent: lecitina de gira-sol; extracte de vainilla*.Pot contenir altres fruits de closca.* Ecològic."," per 100 gr  Valor energètic  2270 kJ/544 kcal  Greixos  32 g  dels quals saturats  5,7 g  Hidrats de carboni  54 g  dels quals sucres  51 g  Fibra alimentària  3,6 g  Proteïnes  8,1 g  Sal  0,12 g",Conservar a temperatura ambient.
BonPreu,NOCILLA Crema de xocolata amb avellanes,0.32kg,2.85,,Crema de xocolata amb avellanes Nocilla en pot de 320 grams,NOCILLA,"08025,, BARCELONA",41.40855769148298,41.40855769148298,"INGREDIENTS: sucre, oli de gira-sol alt oleic, cacau desgreixat en pols (8,5%), mantega de cacau, llet desnatada en pols (4,5%), avellanes (4%), sòlids lactis, emulgents (lecitina de soja, E 476), aroma. Pot contenir altres fruits de closca."," per 100 g  Valor energètic  2299 kJ / 551 kcal  Greixos  33 g  dels quals saturats  5,4 g  Hidrats de carboni  57 g  dels quals sucres  55 g  Proteïnes  5 g  Sal  0,14 g  Fòsfor  141 mg  Magnesi  69 mg","Mantenir fora de la nevera, en lloc fresc i sec."
BonPreu,VALOR Cacau soluble,0.3kg,3.99,,Cacau soluble Valor en pot de 300 grams,VALOR,"03570,, VILLAJOYOSA (ALICANTE)",38.51477529423076,38.51477529423076,"INGREDIENTS: cacau (70%) (cacau desgreixat en pols, cacau), sucre, midó modificat, emulgent: lecitina de soja, estabilitzador: goma guar, aromes (llet)."," per 100 g  Valor energètic  1525 kJ / 365 kcal  Greixos  11 g  dels quals saturats  6,3 g  Hidrats de carboni  39 g  dels quals sucres  24 g  Proteïnes  16 g  Sal  0,14 g","Mode de preparació: afegir 4 cullerades de postres (aprox. 20 grams) a 200 ml de llet calenta, remenar fins dissoldre."
BonPreu,NOCILLA Crema cacau amb avellanes,0.9kg,4.99,,Crema cacau amb avellanes Nocilla Original en pot de 900 grams,NOCILLA,"08025,, BARCELONA",41.40855769148298,41.40855769148298,"INGREDIENTS: sucre, oli de gira-sol alt oleic, cacau desgreixat en pols (8,5%), mantega de cacau, llet desnatada en pols (4,5%), avellanes (4%), sòlids làctics, emulgent (lecitina de soja), aroma.Pot contenir altres fruits de closca.","per 100 g:Valors energètics  2279 kJ / 546 kcalGreixos  32,0 gdels quals saturats  5,9 gHidrats de carboni  58,0 gdels quals sucres  56,0 gProteïnes  5,0 gFibra alimentària  3,0 gSal  0,10 g","Mantenir fora de la nevera, en lloc fresc i sec."
BonPreu,NOCILLA Crema cacau amb avellanes,0.62kg,4.40,,Crema de cacau amb avellanes Nocilla en pot de 620 grams,NOCILLA,"08025,, BARCELONA",41.40855769148298,41.40855769148298,"INGREDIENTS: sucre, oli de gira-sol alt oleic, cacau desgreixat en pols (8,5%), mantega de cacau, llet desnatada en pols (4,5%), avellanes (4%), sòlids làctics, emulgent (lecitina de soja) i aroma.Pot contenir altres fruits de closca."," per 100 g  Valor energètic  2279 kJ / 546 kcal  Greixos  32 g  dels quals saturats  6,4 g  Hidrats de carboni  58 g  dels quals sucres  56 g  Fibra alimentària  3 g  Proteïnes  5 g  Sal  0,14 g","Mantenir fora del frigorífic, en lloc fresc i sec."
